"module name","license","repository"
"memory-pager@1.5.0","MIT","https://github.com/mafintosh/memory-pager"
"merge-descriptors@1.0.1","MIT","https://github.com/component/merge-descriptors"
"methods@1.1.2","MIT","https://github.com/jshttp/methods"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"mongodb-connection-string-url@2.5.2","Apache-2.0","https://github.com/mongodb-js/mongodb-connection-string-url"
"mongodb@4.5.0","Apache-2.0","https://github.com/mongodb/node-mongodb-native"
"mongoose@6.3.6","MIT","https://github.com/Automattic/mongoose"
"mpath@0.9.0","MIT","https://github.com/aheckmann/mpath"
"mquery@4.0.3","MIT","https://github.com/aheckmann/mquery"
"ms@2.0.0","MIT","https://github.com/zeit/ms"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"negotiator@0.6.3","MIT","https://github.com/jshttp/negotiator"
"object-inspect@1.12.2","MIT","https://github.com/inspect-js/object-inspect"
"on-finished@2.4.1","MIT","https://github.com/jshttp/on-finished"
"parseurl@1.3.3","MIT","https://github.com/pillarjs/parseurl"
"path-to-regexp@0.1.7","MIT","https://github.com/component/path-to-regexp"
"proxy-addr@2.0.7","MIT","https://github.com/jshttp/proxy-addr"
"punycode@2.1.1","MIT","https://github.com/bestiejs/punycode.js"
"qs@6.10.3","BSD-3-Clause","https://github.com/ljharb/qs"
"range-parser@1.2.1","MIT","https://github.com/jshttp/range-parser"
"raw-body@2.5.1","MIT","https://github.com/stream-utils/raw-body"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"saslprep@1.0.3","MIT","https://github.com/reklatsmasters/saslprep"
"send@0.18.0","MIT","https://github.com/pillarjs/send"
"serve-static@1.15.0","MIT","https://github.com/expressjs/serve-static"
"setprototypeof@1.2.0","ISC","https://github.com/wesleytodd/setprototypeof"
"side-channel@1.0.4","MIT","https://github.com/ljharb/side-channel"
"sift@16.0.0","MIT","https://github.com/crcn/sift.js"
"smart-buffer@4.2.0","MIT","https://github.com/JoshGlazebrook/smart-buffer"
"socks@2.6.2","MIT","https://github.com/JoshGlazebrook/socks"
"sparse-bitfield@3.0.3","MIT","https://github.com/mafintosh/sparse-bitfield"
"statuses@2.0.1","MIT","https://github.com/jshttp/statuses"
"toidentifier@1.0.1","MIT","https://github.com/component/toidentifier"
"tr46@3.0.0","MIT","https://github.com/jsdom/tr46"
"type-is@1.6.18","MIT","https://github.com/jshttp/type-is"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe"
"utils-merge@1.0.1","MIT","https://github.com/jaredhanson/utils-merge"
"validator@13.7.0","MIT","https://github.com/validatorjs/validator.js"
"vary@1.1.2","MIT","https://github.com/jshttp/vary"
"webidl-conversions@7.0.0","BSD-2-Clause","https://github.com/jsdom/webidl-conversions"
"whatwg-url@11.0.0","MIT","https://github.com/jsdom/whatwg-url"
